"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_symbol","ensembl_id","feature_num"
5.18353784505193e-35,1.58374368991583,0.467,0.123,8.02359823035588e-31,"25","Feature18175","Tcp11l2",NA,18175
1.42698553465415e-34,1.90946566759951,0.433,0.112,2.20883090909117e-30,"25","Feature7847","Gpr137",NA,7847
1.45827446453452e-34,0.921119631756009,0.407,0.091,2.25726304365298e-30,"25","Feature19105","Tspo",NA,19105
1.70481579431999e-34,1.8741650675402,0.267,0.046,2.63888436802791e-30,"25","Feature17756","Ston2",NA,17756
2.81444733486004e-34,1.45178945572078,0.54,0.158,4.35648302962986e-30,"25","Feature10160","Maff",NA,10160
3.24714925177063e-34,1.15462200290732,0.407,0.093,5.02626232681575e-30,"25","Feature11469","Msn",NA,11469
4.26358271070883e-34,1.48184890425052,0.767,0.339,6.59959967790619e-30,"25","Feature5193","Dnajc3",NA,5193
5.36919927561685e-34,2.35808971362625,0.253,0.043,8.31098355872732e-30,"25","Feature3094","Cadps2",NA,3094
6.36147076993484e-34,1.27085207671139,0.413,0.1,9.84692060478213e-30,"25","Feature15587","Rgs12",NA,15587
7.04186078712856e-34,1.82637452853042,0.347,0.075,1.09000963123963e-29,"25","Feature5973","Fam126a",NA,5973
8.13063424613725e-34,1.55769279124902,0.367,0.081,1.25854087495958e-29,"25","Feature12406","Odc1",NA,12406
8.91916571861087e-34,1.55345266538796,0.627,0.217,1.38059766158378e-29,"25","Feature11429","Mrps6",NA,11429
9.11087102373907e-34,1.14415951154654,0.52,0.14,1.41027172576457e-29,"25","Feature18843","Tpm4",NA,18843
2.38158338785643e-33,1.8733330961629,0.373,0.087,3.68645292606297e-29,"25","Feature16238","Sco2",NA,16238
2.6662182263257e-33,1.45696843565727,0.273,0.049,4.12703919252955e-29,"25","Feature14666","Ppp1r3c",NA,14666
4.09091478008983e-33,1.78745122056735,0.367,0.084,6.33232698810104e-29,"25","Feature20622","Zfp704",NA,20622
4.19062608034281e-33,1.39327031576105,0.58,0.181,6.48667010976264e-29,"25","Feature11942","Nfia",NA,11942
5.77198169632162e-33,1.00349192333853,0.853,0.379,8.93445046773623e-29,"25","Feature8714","Ier2",NA,8714
7.75751870038605e-33,1.35440268463533,0.873,0.591,1.20078631963276e-28,"25","Feature4274","Cpe",NA,4274
8.04447193674267e-33,1.64410996093116,0.5,0.146,1.2452038110884e-28,"25","Feature9998","Lrrc45",NA,9998
1.11438228134331e-32,0.99509412261328,0.467,0.121,1.72495233329131e-28,"25","Feature1344","Abhd3",NA,1344
1.23156922906819e-32,1.49011378619894,0.713,0.295,1.90634600967465e-28,"25","Feature8642","Hsph1",NA,8642
1.41343357661158e-32,1.44267706071907,0.8,0.374,2.18785383323706e-28,"25","Feature2214","Arl3",NA,2214
1.63713101051766e-32,2.16590399877381,0.32,0.068,2.53411509118028e-28,"25","Feature13810","Pbx4",NA,13810
1.77398882437955e-32,2.11735718818779,0.3,0.062,2.74595730125711e-28,"25","Feature12198","Nr2f1",NA,12198
1.82561632803527e-32,2.19004035211359,0.287,0.057,2.8258715141658e-28,"25","Feature15235","Rab36",NA,15235
1.91596240206672e-32,1.6059351937344,0.373,0.088,2.96571820215908e-28,"25","Feature11965","Ngef",NA,11965
2.07513742419315e-32,1.107249577318,0.373,0.083,3.21210521890857e-28,"25","Feature9241","Kcnj16",NA,9241
2.39911503731878e-32,1.96407893302548,0.333,0.073,3.71359016626573e-28,"25","Feature19165","Ttc8",NA,19165
2.7528405890587e-32,1.72192315758665,0.547,0.175,4.26112194780396e-28,"25","Feature17568","Srf",NA,17568
3.00761249513186e-32,1.78413927613397,0.273,0.051,4.65548338121461e-28,"25","Feature4070","Cmtm8",NA,4070
3.01666220265956e-32,1.52816940259962,0.253,0.044,4.66949142349673e-28,"25","Feature18207","Tead1",NA,18207
5.45281628819194e-32,1.45167457243979,0.38,0.09,8.4404143324923e-28,"25","Feature13566","Ophn1",NA,13566
5.88297987048811e-32,0.719191469040833,0.987,0.946,9.10626454152855e-28,"25","Feature3107","Calm1",NA,3107
5.92702262916665e-32,1.60716883381266,0.533,0.166,9.17443832768707e-28,"25","Feature12215","Nrbp2",NA,12215
7.10429093491888e-32,1.82845007225181,0.48,0.143,1.09967319381609e-27,"25","Feature10403","Mdm2",NA,10403
8.0730052195419e-32,1.68819019489834,0.54,0.173,1.24962047793289e-27,"25","Feature5027","Dgcr6",NA,5027
8.88361472348654e-32,1.8523515000382,0.28,0.054,1.37509472304848e-27,"25","Feature15422","Rbm24",NA,15422
9.13561038322682e-32,1.23502221557277,0.62,0.207,1.41410113121968e-27,"25","Feature8455","Hmgn5",NA,8455
9.72364892027577e-32,1.95595338712369,0.46,0.135,1.50512361636949e-27,"25","Feature10118","Lypla2",NA,10118
1.25397236854071e-31,2.19441843798569,0.267,0.05,1.94102382926417e-27,"25","Feature8999","Iqcc",NA,8999
1.37324089035239e-31,1.80506404775268,0.307,0.064,2.12563957417647e-27,"25","Feature18896","Trappc6a",NA,18896
1.4762847804871e-31,1.98031452545919,0.307,0.065,2.28514121171598e-27,"25","Feature3294","Ccdc148",NA,3294
1.61351644970344e-31,1.77818724694893,0.36,0.086,2.49756211249596e-27,"25","Feature6663","Gas8",NA,6663
1.70839435044018e-31,1.70396165070339,0.287,0.056,2.64442361504636e-27,"25","Feature421","2310015A10Rik",NA,421
1.81595846766386e-31,1.44021570294234,0.62,0.214,2.81092211209689e-27,"25","Feature5054","Dhrs7",NA,5054
1.9097721221975e-31,1.91112938880004,0.28,0.055,2.9561362679495e-27,"25","Feature7711","Gmds",NA,7711
2.80108293290321e-31,1.75739976715664,0.333,0.075,4.33579627184087e-27,"25","Feature3416","Ccng1",NA,3416
3.52385430903834e-31,1.55606175354559,0.487,0.142,5.45457408496045e-27,"25","Feature20280","Zbtb20",NA,20280
5.30187234227586e-31,1.31617322961232,0.68,0.266,8.20676819860881e-27,"25","Feature9883","Lmna",NA,9883
7.3443033183417e-31,1.60163504360026,0.447,0.124,1.13682471064611e-26,"25","Feature2623","Baiap2",NA,2623
1.30084838060608e-30,1.49488050308943,0.54,0.177,2.01358320834015e-26,"25","Feature4435","Cspp1",NA,4435
